,title,view,like,unlike,comment,date,token2
138,[ENG] 메론케이크과 곱창볶음 먹방편 /20200811방송 편집버전,515674.0,6100.0,109.0,580.0,2020. 8. 15.,"['곱창', '케이크', '볶음']"
139,아이스크림은 거들뿐수다방송입니다 20200813/Mukbang eating show,259918.0,3400.0,73.0,258.0,2020. 8. 13.,"['아이스크림', '수다']"
140,슷하슷하 파슷하20200813/Mukbang eating show,616094.0,8100.0,220.0,428.0,2020. 8. 13.,[]
141,챔취김밥 싸먹기 + 컵라면  20200812/Mukbang eating show,1247170.0,19000.0,519.0,1406.0,2020. 8. 12.,"['김밥', '라면']"
142,케이크 먹다가 곱창 먹다가 케이크 먹는 영상 20200811/Mukbang eating show,579056.0,9200.0,195.0,836.0,2020. 8. 11.,"['영상', '곱창', '케이크']"
143,쩡소님의 초코푸딩과 바나나푸딩으로 후식 먹방 20200810/Mukbang,362586.0,5100.0,94.0,385.0,2020. 8. 10.,"['바나나', '후식', '푸딩']"
144,아구찜티입고 아구찜 먹방 +볶음밥까지 20200810/Mukbang eating show,382236.0,5700.0,133.0,353.0,2020. 8. 10.,"['볶음밥', '아구']"
145,[ENG] 치즈 4번 추가한 응급실 떡볶이+크로플 먹방편 /방송 편집버전,709322.0,9100.0,137.0,736.0,2020. 8. 9.,"['치즈', '떡볶이', '추가', '응급실']"
146,[ENG] 참치회와 초밥 후식 대창 먹방편 /20200803방송 편집버전,649568.0,9600.0,144.0,884.0,2020. 8. 8.,"['초밥', '대창', '후식']"
147,눈감고 크로플 와앙  20200806/Mukbang eating show,438473.0,7200.0,97.0,936.0,2020. 8. 6.,[]
148,떡볶이를 먹는것 인가 치즈를 먹는것 인가 20200806/Mukbang eating show,741347.0,13000.0,278.0,1007.0,2020. 8. 6.,"['치즈', '떡볶이']"
149,KFC신제품 커넬통다리버거 켄터키통다리구이 에그타르트 먹방 20200805/Mukbang eating show,485155.0,8400.0,115.0,954.0,2020. 8. 5.,"['켄터키', '제품', '다리', '구이', '타르트']"
150,뜨끈한 묵은지감자탕과 보쌈 먹방 마무리 볶음밥까쥐 20200805/Mukbang eating show,508039.0,8600.0,210.0,433.0,2020. 8. 5.,"['보쌈', '감자탕', '볶음밥', '마무리']"
151,소대창구이와 소곱창전골 20200804/Mukbang eating show,424026.0,6900.0,166.0,571.0,2020. 8. 4.,"['구이', '곱창', '전골', '소대']"
152,참치회 + 참치초밥 20200804/Mukbang eating show,353524.0,6300.0,113.0,542.0,2020. 8. 4.,"['초밥', '참치']"
153,투썸플레이스 밀크티쉬폰 케이크 먹방 20200803/Mukbang,395470.0,500.0,81.0,406.0,2020. 8. 3.,"['케이크', '쉬폰', '플레이스', '밀크']"
154,매콤 시원한 냉짬뽕과 꿔바로우 칠리새우 먹방 20200803/Mukbang eating show,375802.0,4400.0,144.0,257.0,2020. 8. 3.,"['짬뽕', '새우']"
155,[ENG/EDIT] 짜파게티 10개와 성심당 크레이프 케이크 먹방편 /20200729방송 편집버전,734121.0,800.0,157.0,525.0,2020. 8. 2.,"['성심', '케이크', '크레이프']"
156,[ENG/EDIT] 햇님표 곱도리탕과 후식 케이크 2판 먹방편 /20200727방송 편집버전,238532.0,2800.0,80.0,97.0,2020. 8. 1.,"['도리탕', '케이크', '후식']"
157,나중에 먹는 음식 20200730/Mukbang eating show,268682.0,3400.0,105.0,184.0,2020. 7. 30.,"['음식', '나중']"
158,JMTGR 다운타우너 20200730/Mukbang eating show,212631.0,3100.0,106.0,207.0,2020. 7. 30.,"['다운', '타우']"
159,대전 '성심당'부띠끄 크레이프케이크20200729/Mukbang eating show,628501.0,7800.0,151.0,948.0,2020. 7. 29.,"['성심', '케이크', '크레이프', '대전']"
160,꾸덕꾸덕찐득찐득 짜뽜게뤼 10개가 뙇 20200729/Mukbang eating show,504243.0,7300.0,264.0,382.0,2020. 7. 29.,[]
161,후식은 모니모니해도 치키치키치키늬 20200728/Mukbang eating show,250844.0,3300.0,105.0,200.0,2020. 7. 28.,"['모니', '후식']"
162,국물이 끝내줌돠 20200728/Mukbang eating show,157377.0,2500.0,89.0,153.0,2020. 7. 28.,['국물']
163,파리바게트 초코케이크와 생크림케이크 20200727/Mukbang eating show,266935.0,3100.0,85.0,189.0,2020. 7. 27.,"['생크림', '케이크', '바게트', '파리']"
164,닭다리만 21개 20200727/Mukbang eating show,191531.0,2700.0,101.0,138.0,2020. 7. 27.,['닭다리']
165,멜론 타르트 와앙 20200726/Mukbang eating show,204790.0,3100.0,72.0,179.0,2020. 7. 26.,"['멜론', '타르트']"
166,중복 특집 한우 45만원 어치 먹방 20200726/Mukbang eating show,368803.0,4300.0,257.0,192.0,2020. 7. 26.,"['한우', '중복', '특집', '어치']"
167,[ENG/EDIT] 뭬님의 라면가게 너구리 먹방편 /20200721방송 편집버전,374365.0,4300.0,101.0,336.0,2020. 7. 25.,"['너구리', '라면', '가게']"
168,[ENG/EDIT] 보쌈 광어회 묵은지 삼합과 술 먹방편 /20200718방송 편집버전,154273.0,2100.0,61.0,115.0,2020. 7. 24.,"['보쌈', '광어']"
169,백지영님이 가신 이후 수다 방송20200723/Mukbang eating show,166679.0,2400.0,89.0,101.0,2020. 7. 23.,"['백지', '수다', '이후', '가신']"
170,발라드의 신 백지영님과의 식사  20200723,1261922.0,18000.0,576.0,1097.0,실시간 스트리밍 시작일: 2020. 7. 23.,"['백지', '식사', '발라드']"
171,한번으로 족한 마라 떡볶이습습후후 주의 그리고 이어서 먹는 피자 20200722 /Mukbang eating show,454508.0,4500.0,331.0,191.0,2020. 7. 22.,"['한번', '떡볶이', '피자', '마라', '주의']"
172,'뭬'님의 라면가게 너구리편(16봉재료소진으로 마감)20200721/Mukbang eating show,489311.0,6300.0,238.0,618.0,2020. 7. 21.,"['라면', '너구리', '소진', '재료', '마감', '가게']"
173,후식으로 아몬드 봉봉봉과 핫팩() 먹방 20200721/Mukbang,193967.0,2200.0,73.0,119.0,2020. 7. 20.,"['아몬드', '봉과', '후식']"
174,한입한입이 한입만 치참김볶밥 20200720/Mukbang eating show,232952.0,3100.0,83.0,151.0,2020. 7. 20.,"['입이', '한입']"
