title,view,like,unlike,comment,date
1탄  언니 속옷하울 알지? // 빅토리아 시크릿 하울,"조회수 919,135회",1.1만,391,"댓글 1,016개",2019. 1. 10.
"습도 10% 극강건조  비행기 안에서 ""24시간"" 살아남기","조회수 285,567회",5.3천,145,댓글 737개,2019. 1. 4.
2019 중대 공지,"조회수 273,425회",5천,106,댓글 312개,2018. 12. 31.
2018년 최고의색조 아이템 추천 | SSIN,"조회수 440,668회",1.6만,150,댓글 295개,2018. 12. 31.
"2018년 존좋템 리스트컨투어링, 쉐딩, 하이라이터, 파우더편","조회수 262,963회",3.6천,56,댓글 166개,2018. 12. 30.
핑크극복프로젝트5.레드핑크 Overcoming the fear of PINK : Reddish Pink | SSIN,"조회수 457,633회",1.2만,174,"댓글 1,278개",2018. 12. 25.
"""200만원"" 럭셔리 원브랜드 메이크업 : 맥 2 MAC One Brand Makeup | SSIN","조회수 327,184회",5.9천,87,댓글 543개,2018. 12. 24.
"""200만원"" 럭셔리 원브랜드 메이크업 : 맥 1 MAC One Brand Makeup | SSIN","조회수 427,978회",8.9천,117,댓글 903개,2018. 12. 23.
"2018년 최고의아이라이너, 마스카라, 브로우 추천 | SSIN 씬님","조회수 476,386회",7.1천,101,댓글 382개,2018. 12. 22.
"2018년 존좋 파운데이션, 컨실러 추천 | SSIN 씬님","조회수 597,912회",1.3만,123,"댓글 3,298개",2018. 12. 19.
"존좋템기초, 베이스, 프라이머, 선크림, 컬러코렉터 추천! | SSIN 씬님","조회수 395,532회",6.1천,90,댓글 243개,2018. 12. 13.
2018년 존좋 of 존좋 씬님의 존좋템중 1위만 소개하는 영상,"조회수 603,046회",1.3만,211,댓글 798개,2018. 12. 8.
쿠모+씬님 콜라보 '브러쉬'가 드디어 나왔습니다!,"조회수 229,328회",5.2천,108,댓글 759개,2018. 12. 7.
붙임머리하고 처음하는 아이돌 메이크업 튜토리얼 with VT X BTS,"조회수 421,633회",1만,235,"댓글 1,134개",2018. 11. 24.
빠앙빵 터지는 세포라 신상 리뷰 / 하울! 생소한 메이크업 브랜드 설명영상! | SSIN,"조회수 266,845회",4.9천,113,댓글 377개,2018. 11. 23.
←이렇게생긴 미국호박으로 진짜 할로윈 잭오랜턴 만들어보고 왔습니다! | SSIN,"조회수 144,055회",2.6천,47,댓글 165개,최초 공개: 2018. 11. 15.
수혜자 여러분들의 수능대박을 기원합니다!,"조회수 99,399회",3.2천,24,댓글 422개,2018. 11. 13.
"주황색 미국호박 난생 처음봄;; ""미쿡호박""에서 영감을 받은 겟레디윗미! 오렌지 메이크업 | SSIN","조회수 209,641회",4.2천,84,댓글 350개,2018. 11. 9.
한국보다10배 더 무섭다! 유니버셜 스튜디오 호러나이트// 호러메이즈 체험 | SSIN,"조회수 127,168회",3천,32,댓글 277개,2018. 11. 5.
"좀비를 꼬시러 가는 겟레디윗미 ""유니버셜 스튜디오 호러나이트"" 같이화장해요! | SSIN","조회수 208,830회",4.1천,89,댓글 316개,2018. 11. 3.
1930's 상하이 모던 레트로 메이크업 Modern retro makeup | SSIN,"조회수 252,381회",4.3천,88,댓글 463개,2018. 10. 26.
로드샵 원브랜드 메이크업 : 삐아 2 | SSIN,"조회수 439,633회",1만,148,댓글 478개,2018. 10. 25.
로드샵 원브랜드 메이크업 : 삐아 1 | SSIN,"조회수 797,385회",1.1만,314,댓글 883개,2018. 10. 19.
대만으로 급 떠나는 여행 겟레디윗미! 이것이 마이리얼트립인가. | SSIN,"조회수 463,211회",6.1천,214,댓글 643개,2018. 10. 13.
핑크극복프로젝트4.뮤트핑크 Overcoming the fear of PINK : Muted Pink | SSIN,"조회수 578,952회",1.1만,298,"댓글 1,532개",2018. 10. 5.
벽돌 분쇄 ; 가을 레드브라운 메이크업 | SSIN,"조회수 234,496회",5.2천,89,댓글 563개,2018. 9. 28.
씬팁집중설명 : 베이스 메이크업 [다크서클 없애부락리...] | SSINTIP,"조회수 472,907회",6.9천,162,댓글 544개,2018. 9. 18.
"존좋템으로 하는 가을가을 메이크업, 같이 화장하자 GRWM | SSIN","조회수 551,779회",7.3천,203,댓글 651개,2018. 9. 7.
"'씬'과함께(feat.김숙) 염라대왕, 변성대왕 커버 메이크업","조회수 551,045회",2만,178,"댓글 1,768개",2018. 8. 31.
로드샵 원브랜드 메이크업 : 아리따움 2 Aritaum Korean one brand makeup | SSIN,"조회수 588,948회",9.8천,230,"댓글 1,556개",2018. 8. 27.
로드샵 원브랜드 메이크업 : 아리따움 1 Aritaum Korean one brand makeup | SSIN,"조회수 914,905회",1.4만,397,"댓글 1,384개",2018. 8. 24.
"녹화날 데일리 메이크업, 오랜만에 같이 화장해요 | SSIN","조회수 1,266,455회",1.4만,435,"댓글 1,298개",2018. 8. 15.
핑크극복프로젝트3.베이비핑크 Overcoming the fear of PINK : Baby Pink | SSIN,"조회수 704,900회",1.3만,479,"댓글 1,740개",2018. 8. 10.
영화 독전 차승원 커버 메이크업 [제가 바로 씬선생 입니다] | SSIN,"조회수 213,198회",6.1천,92,댓글 808개,2018. 8. 2.
단돈 1000원!!! 다이소 속눈썹 전체 리뷰 2편 $1 Korean Daiso eyelashes review 2 | SSIN,"조회수 293,322회",5천,75,댓글 521개,2018. 7. 31.
블랙핑크 리사 오렌즈 화보 메이크업 Blackpink Lisa O-lens photoshoot makeup | SSIN,"조회수 303,303회",5.2천,333,댓글 553개,2018. 7. 26.
씬님과 박피디가 함께하는 화보 촬영 메이크업! | SSIN,"조회수 249,606회",4.4천,88,댓글 469개,2018. 7. 23.
